"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","60.00","58.00","60.00","58.00","1.74K","3.45%"
"02/02/2023","58.00","59.40","59.40","58.00","8.47K","-3.17%"
"02/01/2023","59.90","59.90","59.90","59.00","56.04K","1.53%"
"01/31/2023","59.00","58.50","59.90","58.40","447.62K","-0.84%"
"01/30/2023","59.50","58.00","60.00","58.00","204.67K","-2.30%"
"01/27/2023","60.90","58.10","61.00","58.00","59.02K","1.84%"
"01/26/2023","59.80","59.50","59.90","58.00","6.69K","-1.16%"
"01/25/2023","60.50","59.00","60.50","58.20","75.48K","2.54%"
"01/24/2023","59.00","60.80","60.80","58.30","17.38K","-2.96%"
"01/23/2023","60.80","60.50","61.00","60.00","340.35K","1.16%"
"01/20/2023","60.10","56.90","62.00","56.00","2.25M","5.25%"
"01/19/2023","57.10","57.00","57.90","57.00","8.38K","0.53%"
"01/18/2023","56.80","58.00","58.00","56.80","3.22K","-0.35%"
"01/17/2023","57.00","58.00","58.00","56.90","9.93K","-1.72%"
"01/13/2023","58.00","56.90","58.00","56.90","33.89K","1.75%"
"01/12/2023","57.00","57.50","57.50","56.80","8.34K","-3.06%"
"01/11/2023","58.80","57.90","58.80","57.00","20.92K","0.00%"
"01/10/2023","58.80","58.00","59.00","56.60","33.59K","3.16%"
"01/09/2023","57.00","58.30","58.30","56.90","12.88K","-1.72%"
"01/05/2023","58.00","57.70","58.00","56.60","3.61M","0.00%"
"01/04/2023","58.00","56.50","59.80","56.50","771.73K","2.29%"
"01/03/2023","56.70","56.50","57.30","56.50","10.59K","0.35%"
"01/02/2023","56.50","56.20","57.50","56.20","30.93K","0.53%"
"12/30/2022","56.20","56.20","57.50","56.20","8.06K","0.18%"
"12/29/2022","56.10","56.50","56.50","56.00","2.37K","-0.88%"
"12/28/2022","56.60","58.80","58.80","56.60","22.57K","-3.74%"
"12/27/2022","58.80","55.10","59.10","55.10","299.57K","6.91%"
"12/23/2022","55.00","55.20","56.00","55.00","14.07K","-3.51%"
"12/22/2022","57.00","57.10","58.00","56.00","3.66K","-1.72%"
"12/21/2022","58.00","57.50","58.00","56.50","423.00K","0.87%"
"12/20/2022","57.50","57.50","58.50","57.50","149.84K","0.00%"
"12/19/2022","57.50","58.70","58.70","57.20","6.64K","-2.21%"
"12/16/2022","58.80","57.20","58.80","57.20","254.53K","1.03%"
"12/15/2022","58.20","58.90","58.90","57.10","58.45K","1.93%"
"12/14/2022","57.10","57.50","57.50","57.10","56.41K","-0.52%"
"12/13/2022","57.40","57.30","57.40","57.00","37.32K","0.35%"
"12/12/2022","57.20","58.00","58.00","57.10","13.65K","0.00%"
"12/09/2022","57.20","59.40","59.40","56.60","3.90K","-1.38%"
"12/08/2022","58.00","56.60","59.00","56.60","122.12K","0.00%"
"12/06/2022","58.00","56.50","58.00","56.50","85.83K","0.87%"
"12/05/2022","57.50","57.40","57.80","56.10","23.49K","0.88%"
"12/02/2022","57.00","56.00","57.00","55.00","89.66K","1.79%"
"12/01/2022","56.00","57.00","57.00","55.50","20.53K","-0.36%"
"11/30/2022","56.20","56.20","56.90","56.20","19.11K","0.36%"
"11/29/2022","56.00","55.80","56.50","55.50","15.76K","0.00%"
"11/28/2022","56.00","56.50","56.50","55.50","16.02K","-0.88%"
"11/25/2022","56.50","56.00","56.50","55.00","20.94K","4.05%"
"11/24/2022","54.30","55.10","56.80","54.30","22.32K","-1.09%"
"11/23/2022","54.90","55.00","55.90","54.00","108.96K","-0.18%"
"11/22/2022","55.00","52.00","55.30","52.00","178.41K","2.23%"
"11/21/2022","53.80","52.00","53.80","51.00","414.99K","5.49%"
"11/18/2022","51.00","52.10","52.10","51.00","82.86K","-1.92%"
"11/17/2022","52.00","53.00","53.10","52.00","231.42K","-1.89%"
"11/16/2022","53.00","55.40","55.40","53.00","26.57K","-4.33%"
"11/15/2022","55.40","55.80","56.90","55.40","2.14M","-0.36%"
"11/14/2022","55.60","55.80","55.80","55.50","70.58K","0.18%"
"11/11/2022","55.50","55.00","55.80","55.00","39.18K","1.09%"
